id,name,latitude,longitude,address,phone,rating,open_24hrs,speciality,district,city,place_id,google_maps_url
1,Mr. Service Auto Repair Workshop,-1.9283138,30.0729141,"KG 15 Ave, Kigali, Rwanda",+250 787 673 434,2,FALSE,"Electrical faults, diagnostics, battery, alternator repair",Gasabo,Kigali,ChIJ2UjbGLCl3BkRx0IyC0g7f-c,https://www.google.com/maps/place/?q=place_id:ChIJ2UjbGLCl3BkRx0IyC0g7f-c
2,Safe Auto Garage,-1.8819148,30.0882013,"Kigali, Rwanda (near Nyacyonga)",+250 790 007 888,1.5,FALSE,"General repair, diagnostics, AC service, tyre fitting",Gasabo,Kigali,ChIJ2ZRKov6h3BkRl_qgTpH2kx8,https://www.google.com/maps/place/?q=place_id:ChIJ2ZRKov6h3BkRl_qgTpH2kx8
3,Car Repair and Maintenance (Gatsata),-1.9954426,30.0477202,"near Gatsata road, kn 3 street, Kigali, Rwanda",+250 785 771 865,1.5,FALSE,"General repair, exhaust, suspension, clutch replacement",Gasabo,Kigali,ChIJFZ-Wsdav3BkRZ1oYcJr1EME,https://www.google.com/maps/place/?q=place_id:ChIJFZ-Wsdav3BkRZ1oYcJr1EME
4,Pak Auto Garage,-1.929288,30.140707,"Kigali, Rwanda",+250 799 000 000,2,FALSE,"Diagnostics, engine repair, electrical faults, AC service",Gasabo,Kigali,ChIJvV5c9Zal3BkRGq2GAJXLS_A,https://maps.app.goo.gl/hXxvDL3akbpxBURc7
5,Life Autocare Garage,-1.9689731,30.1667745,"25J8+CP6, RN3, Kigali, Rwanda",+250 785 733 461,1.7,FALSE,"General repair, engine overhaul, electrical faults, painting",Gasabo,Kigali,ChIJQXoj0ARZ2xkRh4hdiTX44Pg,https://www.google.com/maps/place/?q=place_id:ChIJQXoj0ARZ2xkRh4hdiTX44Pg
6,GARAGE JST,-1.9323037,30.1444218,"349V+3QF, KG 11 Ave, Kigali, Rwanda",+250 783 230 596,1.6,TRUE,"Engine repair, gearbox, suspension, brake service",Gasabo,Kigali,ChIJhYonCgCn3BkR2TFOWa2abNw,https://www.google.com/maps/place/?q=place_id:ChIJhYonCgCn3BkR2TFOWa2abNw
7,Auto Experts Rwanda Ltd,-1.9755665,30.1145507,"24F7+QRW, Kigali, Rwanda",+250 785 569 180,1.6,FALSE,"General repair, oil change, brake service, wheel alignment",Kicukiro,Kigali,ChIJyxm25oGn3BkRDZj_UuTwEZ4,https://www.google.com/maps/place/?q=place_id:ChIJyxm25oGn3BkRDZj_UuTwEZ4
8,AKIC Korea Garage,-1.9792048,30.0991153,"KK 599 St, Kigali, Rwanda",+250 733 095 335,1.6,TRUE,"Brake service, tyre fitting, wheel balancing, oil change",Kicukiro,Kigali,ChIJWx3tnGCn3BkRDaidssr0j2I,https://www.google.com/maps/place/?q=place_id:ChIJWx3tnGCn3BkRDaidssr0j2I
9,Auto Express Garage,-1.9677726,30.0933645,"23JV+V8X, KK 496 St, Kigali, Rwanda",+250 788 313 963,2,TRUE,"Engine repair, gearbox, suspension, brake service",Kicukiro,Kigali,ChIJM_BiOwqn3BkRSE_KCZ3WRCU,https://www.google.com/maps/place/?q=place_id:ChIJM_BiOwqn3BkRSE_KCZ3WRCU
10,Kigali Automotive Rapid Garage,-1.9738721,30.0742899,"KK 706 St, Kigali, Rwanda",+250 788 978 330,1.5,FALSE,"Electrical faults, diagnostics, battery, alternator repair",Kicukiro,Kigali,ChIJ-YyA0Vqn3BkRTRPt70pICcQ,https://www.google.com/maps/place/?q=place_id:ChIJ-YyA0Vqn3BkRTRPt70pICcQ
11,G.S.G. Garage,-1.947626,30.118444,"3429+W9W, Kigali, Rwanda",+250 788 634 322,2,FALSE,"General repair, welding, body work, engine overhaul",Kicukiro,Kigali,ChIJQ_-SpXun3BkRgvCKYmyYrVA,https://www.google.com/maps/place/?q=place_id:ChIJQ_-SpXun3BkRgvCKYmyYrVA
12,THE NATION CAR AUTO X PARTS GARAGE LTD,-1.9766966,30.0972788,"kk240, Kigali, Rwanda",+250 789 825 749,2,FALSE,"General repair, engine overhaul, electrical faults, painting",Kicukiro,Kigali,ChIJG90p77qn3BkRusyX25ESLGI,https://www.google.com/maps/place/?q=place_id:ChIJG90p77qn3BkRusyX25ESLGI
13,Thierry Auto Body Repair and Painting,-1.948018,30.117529,"65 KG 8 Ave, Kigali, Rwanda",+250 788 363 980,1.9,FALSE,"Engine overhaul, electrical faults, welding, body repair",Kicukiro,Kigali,ChIJ3wP6Gj2n3BkRF5qsWawLUoQ,https://www.google.com/maps/place/?q=place_id:ChIJ3wP6Gj2n3BkRF5qsWawLUoQ
14,IWAWE GARAGE LTD,-1.958827,30.123394,"KG 111 St, Kigali, Rwanda",+250 784 033 917,1.5,FALSE,"Brake service, tyre fitting, wheel balancing, oil change",Kicukiro,Kigali,ChIJx_blaX2n3BkRVlYEoIlUVc4,https://www.google.com/maps/place/?q=place_id:ChIJx_blaX2n3BkRVlYEoIlUVc4
15,Autonic Services,-1.965734,30.079582,"KK 4 Ave, Kigali, Rwanda",+250 788 633 866,1.9,TRUE,"Body repair, painting, denting, welding",Kicukiro,Kigali,ChIJpZx395On3BkR_KsbuqGJr-U,https://www.google.com/maps/place/?q=place_id:ChIJpZx395On3BkR_KsbuqGJr-U
16,WAKA Auto Services,-1.972741,30.073674,"Kigali, Rwanda",+250 789 844 774,1.8,TRUE,"General repair, engine overhaul, electrical faults, painting",Kicukiro,Kigali,ChIJA_1RCgCn3BkRHV5YeuIrdns,https://www.google.com/maps/place/?q=place_id:ChIJA_1RCgCn3BkRHV5YeuIrdns
17,The Auto Garage,-1.9441843,30.1302273,"344J+74J, Kigali, Rwanda",+250 795 048 006,1.5,FALSE,"Engine repair, gearbox, suspension, brake service",Kicukiro,Kigali,ChIJpRlRQgCn3BkRtl-dkw3yNwU,https://www.google.com/maps/place/?q=place_id:ChIJpRlRQgCn3BkRtl-dkw3yNwU
18,YUPPIE Auto Garage (Chez MUCYO),-1.97862,30.09897,"23CX+F92, Kigali, Rwanda",+250 799 361 740,1.5,FALSE,"General repair, exhaust, suspension, clutch replacement",Kicukiro,Kigali,ChIJx16uMjKn3BkRiFvT0jbsqCI,https://maps.app.goo.gl/GsFQiHiAtwDtqvBF7
19,Pitstop Auto Clinic & Spa,-1.970113,30.085605,"Kigali, Rwanda",+250 781 605 661,1.5,FALSE,"General repair, exhaust, suspension, clutch replacement",Kicukiro,Kigali,ChIJc7MN3wCn3BkR_OYqF1gGBU0,https://maps.app.goo.gl/2RrRGokoBSRggx3M7
20,Garage Weikl,-1.95631,30.07414,"Kigali, Rwanda",+250 788 558 755,1.6,FALSE,"Engine repair, gearbox, suspension, brake service",Kicukiro,Kigali,ChIJm0vMFQCn3BkRzGw-OTK_8YI,https://maps.app.goo.gl/G3LTMLVxWWjMtWpM7
21,Best Road Garage,-1.971234,30.07821,"Kigali, Rwanda",+250 783 484 370,1.6,FALSE,"Body repair, painting, denting, welding",Kicukiro,Kigali,ChIJqW2e3ACn3BkRH8ZGbxjT_JI,https://maps.app.goo.gl/PaePWBbNwJ6TsLzJA
22,Gikondo Auto Clinic,-1.9742,30.0823,"Kigali, Rwanda",+250 795 574 828,1.9,FALSE,"Engine repair, gearbox, suspension, brake service",Kicukiro,Kigali,ChIJgW5L1QCn3BkRsJXzWqO_ZH4,https://maps.app.goo.gl/G7CSRB1uJZGT2Fj97
23,King Korean Garage,-1.9763,30.0956,"Kigali, Rwanda",+250 795 015 212,1.9,FALSE,"Brake service, tyre fitting, wheel balancing, oil change",Kicukiro,Kigali,ChIJWfX5rACn3BkRSHZRGw_TLAI,https://maps.app.goo.gl/i9t9V825MrTekT3F7
24,GARAGE AUTHENTIC,-1.9447993,30.1109681,"KG 267 St, Kigali, Rwanda",+250 786 930 540,1.5,FALSE,"General repair, exhaust, suspension, clutch replacement",Kicukiro,Kigali,ChIJa1J4AqWn3BkRQwssoHgVlew,https://maps.app.goo.gl/XWbUJthry8A3GmQZ6
25,CarZone Express Lube and Spare Parts,-1.9566538,30.0732265,"Kanogo, Near Alpine, KK 2 Avenue, Kigali, Rwanda",+250 788 319 835,1.9,FALSE,"General repair, engine overhaul, electrical faults, painting",Kicukiro,Kigali,ChIJ6bHsWsan3BkRMGqB6_O4HII,https://www.google.com/maps/place/?q=place_id:ChIJ6bHsWsan3BkRMGqB6_O4HII
26,Auto Korea Maintenance LTD,-1.969084,30.07968,"KK 559 St, Kigali, Rwanda",+250 786 206 054,1.6,FALSE,"General repair, oil change, brake service, wheel alignment",Kicukiro,Kigali,ChIJK5TvI8I1dK4RYFgaGW90kiE,https://www.google.com/maps/place/?q=place_id:ChIJK5TvI8I1dK4RYFgaGW90kiE
27,Auto Masters Garage,-1.9787072,30.1034275,"Kigali, Rwanda",+250 786 160 669,2,FALSE,"General repair, welding, body work, engine overhaul",Kicukiro,Kigali,ChIJN_yKHdun3BkRMZpvanWqxuo,https://www.google.com/maps/place/?q=place_id:ChIJN_yKHdun3BkRMZpvanWqxuo
28,HYBRID INTELLIGENCE,-1.9841524,30.1078807,"KK 41 Ave, Kigali, Rwanda",+250 791 375 982,2,FALSE,"Engine repair, gearbox, suspension, brake service",Kicukiro,Kigali,ChIJyWYftOun3BkRmQdW6VxeiZM,https://www.google.com/maps/place/?q=place_id:ChIJyWYftOun3BkRmQdW6VxeiZM
29,INGABO FIX GARAGE,-2.0374625,30.0960359,"Kk 56 Ave, Kigali, Rwanda",+250 791 825 518,2,FALSE,"Body repair, painting, denting, welding",Kicukiro,Kigali,ChIJnbhS49el3BkRVPW5FqGVvrA,https://www.google.com/maps/place/?q=place_id:ChIJnbhS49el3BkRVPW5FqGVvrA
30,BETHEL GARAGE Ltd,-1.9623595,30.1101847,"Kigali, ahead GOODYEAR, Kigali, Rwanda",+250 783 362 551,1.9,FALSE,"Diagnostics, engine repair, electrical faults, AC service",Kicukiro,Kigali,ChIJYS7WVYGn3BkR09g13CtCDNA,https://www.google.com/maps/place/?q=place_id:ChIJYS7WVYGn3BkR09g13CtCDNA
31,Rwanda Garage Medecar Ltd,-1.9749444,30.0966944,"23GW+2M6, 40 KK 8 Ave, Kigali, Rwanda",+250 788 304 801,1.8,FALSE,"Diagnostics, engine repair, electrical faults, AC service",Kicukiro,Kigali,ChIJQ8EILgCn3BkRHV_acdQMKF8,https://www.google.com/maps/place/?q=place_id:ChIJQ8EILgCn3BkRHV_acdQMKF8
32,Garage Atecar,-2.0110135,30.1069784,"KK 15 Rd, Kigali, Rwanda",+250 788 317 837,1.6,FALSE,"General repair, welding, body work, engine overhaul",Kicukiro,Kigali,ChIJk2B346al3BkRekN20TbIPRY,https://www.google.com/maps/place/?q=place_id:ChIJk2B346al3BkRekN20TbIPRY
33,BangingHybrid Auto Solutions Ltd,-1.963,30.108,"Kigali, Rwanda",+250 791 902 019,1.8,FALSE,"General repair, engine overhaul, electrical faults, painting",Kicukiro,Kigali,ChIJbHybridAS01n3BkRXXXXXXXX,https://maps.app.goo.gl/LHYjQzvfxuQiHwMB6
34,Honest Garage,-1.96,30.086,"Kigali, Rwanda",+250 788 504 056,1.9,FALSE,"General repair, welding, body work, engine overhaul",Kicukiro,Kigali,ChIJHonestGarage01n3BkRXXXXX,https://maps.app.goo.gl/3UNkc1c13XiFwo9j7
35,Autocars Rwanda Garage,-1.9656675,30.0605447,"10 KN 128 St, Nyamirambo, Kigali, Rwanda",+250 782 065 255,1.7,TRUE,"General repair, welding, body work, engine overhaul",Kicukiro,Kigali,ChIJ0y65obql3BkRKULJQ6vsqSc,https://www.google.com/maps/place/?q=place_id:ChIJ0y65obql3BkRKULJQ6vsqSc
36,JSB Garage,-1.9389508,30.0610553,"KN 1 Ave, Kigali, Rwanda",+250 788 305 368,1.5,FALSE,"General repair, exhaust, suspension, clutch replacement",Nyarugenge,Kigali,ChIJk8qASHGl3BkR6gBkxiQEPt4,https://www.google.com/maps/place/?q=place_id:ChIJk8qASHGl3BkR6gBkxiQEPt4
37,Impeccable Motors,-1.943841,30.067558,"3349+F27, Kigali, Rwanda",+250 788 635 653,1.6,TRUE,"General repair, engine overhaul, electrical faults, painting",Nyarugenge,Kigali,ChIJZbd1yJSn3BkRLThKcrlwBSc,https://www.google.com/maps/place/?q=place_id:ChIJZbd1yJSn3BkRLThKcrlwBSc
38,Yassin Auto Car Hub,-1.9655666,30.0621095,"KN 149 St, Kigali, Rwanda",+250 788 359 887,2,FALSE,"Body repair, painting, denting, welding",Nyarugenge,Kigali,ChIJd9JeOJal3BkR6m_zGLhyjEQ,https://www.google.com/maps/place/?q=place_id:ChIJd9JeOJal3BkR6m_zGLhyjEQ
39,MUSE AUTOFIX GARAGE,-1.944073,30.061885,"Kigali and Nyamata, Kigali, Rwanda",+250 788 930 923,1.8,TRUE,"General repair, engine overhaul, electrical faults, painting",Nyarugenge,Kigali,ChIJbyQdxLOl3BkRsM5tWIqdMyA,https://www.google.com/maps/place/?q=place_id:ChIJbyQdxLOl3BkRsM5tWIqdMyA
40,Supreme Car Clinic,-1.973777,30.056557,"KN 148 St, Nyamirambo, Kigali, Rwanda",+250 791 345 058,1.7,TRUE,"Brake service, tyre fitting, wheel balancing, oil change",Nyarugenge,Kigali,ChIJS_HqZ7Cl3BkRdizZuQwIJJ4,https://www.google.com/maps/place/?q=place_id:ChIJS_HqZ7Cl3BkRdizZuQwIJJ4
41,New Look Garage,-1.938345,30.051939,"KN 17 St, Kigali, Rwanda",+250 788 913 423,1.7,TRUE,"General repair, oil change, brake service, wheel alignment",Nyarugenge,Kigali,ChIJfQD3XvGl3BkRda_Il2Ypg3Y,https://www.google.com/maps/place/?q=place_id:ChIJfQD3XvGl3BkRda_Il2Ypg3Y
42,AJ Garage,-1.987417,30.1054999,"plot 29 Kigali, KK 23 Ave, Kigali, Rwanda",+250 788 301 211,1.6,FALSE,"General repair, diagnostics, AC service, tyre fitting",Nyarugenge,Kigali,ChIJo8pjeoan3BkRbbNuw3V30TI,https://www.google.com/maps/place/?q=place_id:ChIJo8pjeoan3BkRbbNuw3V30TI
43,Focus Auto Garage,-1.94,30.058,"Kigali, Rwanda",+250 737 485 499,1.6,FALSE,"General repair, spare parts, oil change, wheel alignment",Nyarugenge,Kigali,ChIJFocusAutoGarage01n3BkRX,https://maps.app.goo.gl/WFtfccyG2HCg8zPw6
44,Victor Auto Parts,-1.941,30.06,"Kigali, Rwanda",+250 788 237 099,1.7,FALSE,"General repair, exhaust, suspension, clutch replacement",Nyarugenge,Kigali,ChIJVictorAutoParts01n3BkRX,https://maps.app.goo.gl/C4Q87k56ABbhefTL6
45,GORITECH GARAGE,-1.9309062,30.0712851,"KN 8 Ave, Kigali, Rwanda",+250 788 304 890,1.5,FALSE,"General repair, diagnostics, AC service, tyre fitting",Nyarugenge,Kigali,ChIJvw2eJlCn3BkRW7ZYZM0S5lk,https://www.google.com/maps/place/?q=place_id:ChIJvw2eJlCn3BkRW7ZYZM0S5lk
46,Simba Mechanic Garage,-1.945,30.064,"Kigali, Rwanda",+250 781 885 134,1.5,FALSE,"Brake service, tyre fitting, wheel balancing, oil change",Nyarugenge,Kigali,ChIJSimbaMechanic01n3BkRXXX,https://maps.app.goo.gl/BTYKfZorKCjjZcKt5
47,Ms Auto Shop,-1.942,30.062,"Kigali, Rwanda",+250 788 556 515,1.8,FALSE,"Engine repair, gearbox, suspension, brake service",Nyarugenge,Kigali,ChIJMsAutoShop001n3BkRXXXXX,https://maps.app.goo.gl/Z84oMjk5jVKvUWKPA
48,Skyline Tours & Cars Service,-1.939,30.064,"Kigali, Rwanda",+250 782 025 868,1.5,FALSE,"General repair, welding, body work, engine overhaul",Nyarugenge,Kigali,ChIJSkylineTours001n3BkRXXX,https://maps.app.goo.gl/SDGDxNAVUEh43QbF8
49,JM Garage,-1.9355443,30.0603379,"KN 7 Rd, Kigali, Rwanda",+250 788 500 249,1.7,FALSE,"General repair, spare parts, oil change, wheel alignment",Nyarugenge,Kigali,ChIJMUWsexyk3BkRvH9UXsuaW_M,https://www.google.com/maps/place/?q=place_id:ChIJMUWsexyk3BkRvH9UXsuaW_M
50,Autofix Land Rover Rwanda,-1.9429899,30.0677744,"44 KN 1 Ave, Kigali, Rwanda",+250 783 105 621,1.7,FALSE,"Brake service, tyre fitting, wheel balancing, oil change",Nyarugenge,Kigali,ChIJ8TYy_6Cn3BkRWAVb-eOrakk,https://www.google.com/maps/place/?q=place_id:ChIJ8TYy_6Cn3BkRWAVb-eOrakk
51,Alpha Garage,-1.9357967,30.0608171,"3376+M8P, Kigali, Rwanda",+250 788 410 123,1.9,FALSE,"General repair, oil change, brake service, wheel alignment",Nyarugenge,Kigali,ChIJb9oylgqk3BkRL1I1h0EQ_1s,https://www.google.com/maps/place/?q=place_id:ChIJb9oylgqk3BkRL1I1h0EQ_1s
52,Akagera Motors Service Center,-1.9675829,30.0916436,"KN 3 Rd, Kigali, Rwanda",+250 788 170 120,1.7,FALSE,"Diagnostics, engine repair, electrical faults, AC service",Nyarugenge,Kigali,ChIJM5oFcsSj3BkRmoxHz16-JjY,https://www.google.com/maps/place/?q=place_id:ChIJM5oFcsSj3BkRmoxHz16-JjY
53,Mr. Parts Auto Spare Part Shop,-1.9281484,30.0728991,"KG 15 Ave, Kigali, Rwanda",+250 787 673 434,1.5,FALSE,"General repair, diagnostics, AC service, tyre fitting",Nyarugenge,Kigali,ChIJQ-J4hyKl3BkRatpO3Nt_saY,https://www.google.com/maps/place/?q=place_id:ChIJQ-J4hyKl3BkRatpO3Nt_saY
54,GMC Garage,-2.001054,30.0894724,"Kigali, Rwanda",+250 788 435 049,2,TRUE,"Engine repair, gearbox, suspension, brake service",Nyarugenge,Kigali,ChIJAZGUEuOp3BkRO9oPr6R-jZk,https://www.google.com/maps/place/?q=place_id:ChIJAZGUEuOp3BkRO9oPr6R-jZk
55,VIP Garage,-1.9499602,30.4366665,"3C2P+2HH, Rwamagana, Rwanda",+250 788 497 031,1.8,FALSE,"General repair, welding, body work, engine overhaul",Rwamagana,Rwamagana,ChIJvy5fIABH2xkR08MbgQIWLSI,https://www.google.com/maps/place/?q=place_id:ChIJvy5fIABH2xkR08MbgQIWLSI
56,Indatwa Garage,-1.9497393,30.4369989,"3C2P+5J2, Rwamagana, Rwanda",+250 788 412 241,1.9,FALSE,"General repair, welding, body work, engine overhaul",Rwamagana,Rwamagana,ChIJFW-0fgBH2xkRxbMPuInFEH0,https://www.google.com/maps/place/?q=place_id:ChIJFW-0fgBH2xkRxbMPuInFEH0
57,East Hope Motors,-1.9037122,30.5053844,"Kayonza, Rwanda",+250 788 305 290,1.5,FALSE,"Diagnostics, engine repair, electrical faults, AC service",Kayonza,Kayonza,ChIJod89oRtH2xkRpHDdElfWouw,https://www.google.com/maps/place/?q=place_id:ChIJod89oRtH2xkRpHDdElfWouw
58,GERMAN EXPERT GARAGE,-1.6982959,29.3114994,"Rubavu, Rwanda",+250 788 653 350,1.8,TRUE,"Body repair, painting, denting, welding",Rubavu,Rubavu,ChIJk9-WKqgF3RkRk2wYokmYCQ0,https://www.google.com/maps/place/?q=place_id:ChIJk9-WKqgF3RkRk2wYokmYCQ0
59,Garage MEDECAR LTD,-1.6969845,29.2632197,"8737+67W, Gisenyi, Rwanda",+250 788 359 625,1.5,FALSE,"Electrical faults, diagnostics, battery, alternator repair",Rubavu,Gisenyi,ChIJfTswvV4F3RkRjIlsqXVesOw,https://www.google.com/maps/place/?q=place_id:ChIJfTswvV4F3RkRjIlsqXVesOw
60,Rubavu Specialized Garage Ltd,-1.692516,29.25766,"8755+42Q, Ave de l'Umuganda, Gisenyi, Rwanda",+250 792 371 557,1.9,FALSE,"Engine repair, gearbox, suspension, brake service",Rubavu,Gisenyi,ChIJjU8RZoQF3RkRoF9F45eK6_A,https://www.google.com/maps/place/?q=place_id:ChIJjU8RZoQF3RkRoF9F45eK6_A
61,CARUMEX GARAGE,-1.5007223,29.6325193,"12, Musanze, Rwanda",+250 781 628 059,1.7,FALSE,"Brake service, tyre fitting, wheel balancing, oil change",Musanze,Musanze,ChIJl2GVyYRb3BkR-3RrH6EgDzs,https://www.google.com/maps/place/?q=place_id:ChIJl2GVyYRb3BkR-3RrH6EgDzs
62,Junior Auto Clinic,-1.515104,29.639605,"FJMR+R62, Musanze, Rwanda",+250 784 481 659,2,FALSE,"General repair, suspension, steering, tyre fitting",Musanze,Musanze,ChIJk7MiCABb3BkRy1QJc19ePfc,https://www.google.com/maps/place/?q=place_id:ChIJk7MiCABb3BkRy1QJc19ePfc
63,Shaggy Star Garage,-1.5124817,29.6415017,"Musanze General Bus Park, Rue du Commerce, Musanze, Rwanda",+250 788 819 115,1.9,TRUE,"Engine repair, gearbox, suspension, brake service",Musanze,Musanze,ChIJpy-9YrZb3BkRhc4kKC2CjuA,https://www.google.com/maps/place/?q=place_id:ChIJpy-9YrZb3BkRhc4kKC2CjuA
64,Olivier Ukizemwabo Garage,-1.498002,29.6366863,"GJ2P+QMV, Musanze, Rwanda",+250 788 773 577,1.7,TRUE,"General repair, welding, body work, engine overhaul",Musanze,Musanze,ChIJPTL_6lpa3BkRFx1q__bZ4IU,https://www.google.com/maps/place/?q=place_id:ChIJPTL_6lpa3BkRFx1q__bZ4IU
65,Auto Restore Shop Ltd,-2.5931211,29.7385545,"PRISON DE KARUBANDA, Butare, Rwanda",+250 788 426 457,1.9,FALSE,"General repair, engine overhaul, electrical faults, painting",Huye,Huye (Butare),ChIJVztmGFcMwxkRdRULN0aDsWA,https://www.google.com/maps/place/?q=place_id:ChIJVztmGFcMwxkRdRULN0aDsWA
66,Garage Umusanzu,-2.5932607,29.7366577,"CP4P+MMV, Butare, Rwanda",+250 730 433 218,1.6,FALSE,"General repair, welding, body work, engine overhaul",Huye,Huye (Butare),ChIJVd_u0VYMwxkRueGBWAQvjdQ,https://www.google.com/maps/place/?q=place_id:ChIJVd_u0VYMwxkRueGBWAQvjdQ
67,Spare Fam Ltd,-2.6038612,29.7395168,"rwanda,huye district, Butare, Rwanda",+250 782 987 653,2,TRUE,"Body repair, painting, denting, welding",Huye,Huye (Butare),ChIJyyO3ziINwxkRqpfITAaOc4c,https://www.google.com/maps/place/?q=place_id:ChIJyyO3ziINwxkRqpfITAaOc4c
