request_id,user_id,garage_id,garage_name,service_type,description,request_date,request_district,request_latitude,request_longitude,mechanic_district,mechanic_latitude,mechanic_longitude,distance_km,status,completion_date,duration_hours,estimated_cost_rwf,actual_cost_rwf,response_time_minutes,payment_method,payment_status,emergency_request
REQ00001,USR0299,4330,NZEYIMANA AUTO GARAGE,Electrical Systems,Exhaust pipe broken,11/5/2026 0:34,Nyarugenge,-1.928084,30.05011,Nyarugenge,-1.906357,30.052881,2.44,Completed,11/7/2026 5:34,53,53113,71533,76,Cash,Paid,No
REQ00002,USR0874,8375,Safe Service Center,Diagnostic Scanning,Exhaust pipe broken,11/15/2026 9:37,Ngoma,-2.114474,30.416952,Ngoma,-2.138534,30.564394,16.6,Completed,11/16/2026 21:37,36,118568,68351,147,Mobile Money,Paid,No
REQ00003,USR0981,7585,City Auto Plus,Exhaust System,Electrical fault,2/20/2026 12:06,Rwamagana,-1.883413,30.46656,Rwamagana,-1.923311,30.467346,4.44,Cancelled,2/20/2026 23:06,0,73186,0,20,N/A,Pending,No
REQ00004,USR0631,7826,MS Auto Garage,Brake System,Starter motor issues,5/4/2026 11:02,Kicukiro,-2.017189,30.095039,Kicukiro,-1.986497,30.146522,6.66,Completed,5/8/2026 5:02,90,62405,198504,159,Mobile Money,Paid,No
REQ00005,USR0474,7972,TUYISENGE Workshop Ltd,Oil Change,Oil leak detected,9/3/2026 10:48,Kayonza,-1.903256,30.726818,Kayonza,-1.889369,30.661145,7.46,Cancelled,9/3/2026 11:48,0,146798,0,27,N/A,Pending,Yes
REQ00006,USR0842,6108,MUHIRE Auto Repair & Sons,Bodywork,Overheating engine,12/12/2026 4:32,Nyanza,-2.308358,29.730946,Nyanza,-2.32377,29.727368,1.76,Completed,12/12/2026 11:32,7,152642,117522,20,Mobile Money,Paid,No
REQ00007,USR0736,8887,East Africa Road Motor Works,Bodywork,Oil leak detected,12/4/2026 0:45,Musanze,-1.543642,29.638734,Musanze,-1.57789,29.695436,7.36,Completed,12/5/2026 19:45,43,123913,48569,146,Bank Transfer,Paid,No
REQ00008,USR0365,766,Blessing Garage Bugesera,Diagnostic Scanning,Windshield wiper motor failure,1/30/2026 0:38,Bugesera,-2.104474,30.186333,Bugesera,-2.257345,30.135785,17.9,Completed,2/3/2026 0:38,96,102946,11132,120,Bank Transfer,Paid,Yes
REQ00009,USR0518,706,Harmony Auto Muhanga,Suspension & Steering,Car won't start,4/28/2026 9:15,Muhanga,-2.038706,29.726724,Muhanga,-2.081906,29.747698,5.34,In Progress,4/28/2026 17:15,29,114758,98212,131,Cash,Unpaid,No
REQ00010,USR0867,9654,Grand Ride Autocare,Engine Repair,Car won't start,2/3/2026 17:02,Musanze,-1.437101,29.674541,Musanze,-1.570967,29.694584,15.05,Completed,2/6/2026 15:02,70,179353,192398,31,Bank Transfer,Paid,No
REQ00011,USR0610,5227,KAMANZI MOTORS WORKSHOP,Brake System,Overheating engine,9/15/2026 17:20,Rwamagana,-1.992751,30.425341,Rwamagana,-1.955772,30.457515,5.45,Completed,9/17/2026 17:20,48,67441,167449,13,Cash,Paid,No
REQ00012,USR0556,546,Elite Auto Hub Bugesera,Transmission Repair,Oil leak detected,2/23/2026 17:47,Bugesera,-2.239142,30.19661,Bugesera,-2.09853,30.099325,19.01,Pending,2/26/2026 4:47,35,46124,38503,94,Mobile Money,Pending,No
REQ00013,USR0212,4181,NDAYAMBAJE MOTORS AUTO,Transmission Repair,Brakes not responding,1/11/2026 4:35,Musanze,-1.460838,29.704802,Musanze,-1.462285,29.660537,4.92,Completed,1/13/2026 2:35,46,15678,45360,100,Bank Transfer,Paid,No
REQ00014,USR0353,2851,Inyange Automobiles,Diagnostic Scanning,Gearbox issues,4/3/2026 5:49,Huye,-2.618136,29.735738,Huye,-2.5557575,29.7144985,7.33,Completed,4/7/2026 3:49,94,93511,79364,89,Bank Transfer,Paid,Yes
REQ00015,USR0232,7375,Rwanda Motor Auto Experts,Tire & Wheel,Clutch not engaging,9/20/2026 20:47,Rulindo,-1.779685,30.010787,Rulindo,-1.682664,29.985992,11.13,Pending,9/20/2026 23:47,14,151869,135629,77,Mobile Money,Pending,No
REQ00016,USR0639,4585,TYU Auto Clinic Ltd,Electrical Systems,Gearbox issues,1/17/2026 12:45,Bugesera,-2.224618,30.193963,Bugesera,-2.045014,30.32811,24.92,Completed,1/19/2026 2:45,38,108314,47784,156,Cash,Paid,No
REQ00017,USR0008,5751,Swift Auto World,Air Conditioning,Clutch not engaging,4/14/2026 19:51,Ngoma,-2.161313,30.549882,Ngoma,-2.119079,30.530762,5.15,Completed,4/17/2026 20:51,73,174111,65421,36,Mobile Money,Paid,No
REQ00018,USR0771,6582,East Africa Auto Tech Car Center,Diagnostic Scanning,Exhaust pipe broken,5/21/2026 12:48,Nyanza,-2.390021,29.793162,Nyanza,-2.30502,29.742248,11.02,Completed,5/21/2026 20:48,8,92383,161878,105,Cash,Paid,No
REQ00019,USR0975,9385,OAL Workshop Sarl,Transmission Repair,Fuel pump failure,7/3/2026 3:47,Bugesera,-2.109047,30.137496,Bugesera,-2.006717,30.287264,20.16,Completed,7/5/2026 19:47,64,56927,24727,128,Cash,Paid,No
REQ00020,USR0603,3179,Sun Auto Station,Brake System,Fuel pump failure,3/7/2026 15:11,Gicumbi,-1.533501,29.97795,Gicumbi,-1.5300884,30.0302841,5.83,Completed,3/7/2026 17:11,2,52776,161053,73,Bank Transfer,Paid,Yes
REQ00021,USR0580,8111,ZW Auto Services Sarl,Diagnostic Scanning,Windshield wiper motor failure,11/27/2026 3:44,Kayonza,-1.934017,30.561325,Kayonza,-1.880486,30.606045,7.75,Completed,11/27/2026 16:44,13,39718,52398,106,Cash,Paid,Yes
REQ00022,USR0720,8057,Smart Auto World,Air Conditioning,Gearbox issues,6/5/2026 3:35,Rulindo,-1.703624,30.102826,Rulindo,-1.700803,29.979596,13.7,In Progress,6/5/2026 10:35,70,194411,188153,107,Mobile Money,Pending,No
REQ00023,USR0876,4884,Total Auto World,Air Conditioning,AC not cooling,3/1/2026 18:03,Gasabo,-1.876313,30.08007,Gasabo,-1.944077,30.048263,8.32,In Progress,3/4/2026 5:03,1,180054,198694,135,Cash,Unpaid,No
REQ00024,USR0258,5045,KAYITARE Auto Garage Ltd,Welding,Starter motor issues,6/9/2026 19:51,Nyanza,-2.417632,29.678325,Nyanza,-2.342811,29.782274,14.23,Completed,6/9/2026 23:51,4,116600,36579,119,Mobile Money,Paid,Yes
REQ00025,USR0005,8664,SEMANZA AUTOFIX WORKSHOP,Welding,Clutch not engaging,9/3/2026 23:18,Rulindo,-1.703056,30.065375,Rulindo,-1.736089,29.971933,11.02,Pending,9/4/2026 8:18,10,75406,66819,85,Bank Transfer,Pending,No
REQ00026,USR0063,5726,RMV Auto Center Co.,Brake System,Brakes not responding,9/16/2026 4:57,Kicukiro,-1.9535,30.113472,Kicukiro,-1.984992,30.120971,3.6,Cancelled,9/16/2026 7:57,0,97755,0,63,N/A,Unpaid,No
REQ00027,USR0011,7788,Alpha Car Workshop,Transmission Repair,AC not cooling,5/27/2026 3:49,Muhanga,-2.071427,29.759473,Muhanga,-2.08426,29.735285,3.04,Completed,5/31/2026 0:49,93,31310,157538,168,Mobile Money,Paid,No
REQ00028,USR0244,3257,Delta Car Workshop,Oil Change,Transmission slipping,3/18/2026 16:37,Bugesera,-2.263836,30.147343,Bugesera,-2.1082817,30.1386767,17.32,In Progress,3/21/2026 16:37,13,160000,150975,123,Mobile Money,Unpaid,No
REQ00029,USR0268,9994,IQHY Auto Clinic LTD,Welding,Battery replacement,7/17/2026 1:18,Kirehe,-2.391375,30.643535,Kirehe,-2.124181,30.728235,31.17,Completed,7/21/2026 0:18,95,39417,45193,28,Bank Transfer,Paid,No
REQ00030,USR0726,8680,Quality Auto Fix,Bodywork,Electrical fault,1/31/2026 3:41,Bugesera,-2.223212,30.071661,Bugesera,-1.979131,30.288038,36.26,Pending,2/2/2026 18:41,3,188608,205940,143,Mobile Money,Pending,No
REQ00031,USR0754,4310,Fast Drive Car Care,Tire & Wheel,Transmission slipping,1/12/2026 12:46,Huye,-2.630606,29.711103,Huye,-2.663429,29.731164,4.28,Completed,1/15/2026 2:46,62,15865,118094,131,Bank Transfer,Paid,No
REQ00032,USR0850,6085,NDAYISABA Auto Garage Co.,Transmission Repair,Windshield wiper motor failure,11/5/2026 0:12,Ngoma,-2.139734,30.541102,Ngoma,-2.081239,30.586724,8.25,Completed,11/5/2026 22:12,22,159551,151326,115,Cash,Paid,Yes
