user_latitude,user_longitude,problem_type,urgency_level,mechanic_latitude,mechanic_longitude,distance_km,mechanic_rating,open_24hrs,speciality_match,district,target
-1.928084,30.05011,Electrical Systems,1,-1.906357,30.052881,2.44,4.5,0,0,Nyarugenge,1
-2.114474,30.416952,Diagnostic Scanning,1,-2.138534,30.564394,16.6,4.3,0,0,Ngoma,1
-1.883413,30.46656,Exhaust System,1,-1.923311,30.467346,4.44,4.7,0,1,Rwamagana,0
-2.017189,30.095039,Brake System,1,-1.986497,30.146522,6.66,4.4,0,1,Kicukiro,1
-1.903256,30.726818,Oil Change,3,-1.889369,30.661145,7.46,3.0,0,0,Kayonza,0
-2.308358,29.730946,Bodywork,1,-2.32377,29.727368,1.76,4.3,0,0,Nyanza,1
-1.543642,29.638734,Bodywork,1,-1.57789,29.695436,7.36,3.0,0,0,Musanze,1
-2.104474,30.186333,Diagnostic Scanning,3,-2.257345,30.135785,17.9,3.7,0,0,Bugesera,0
-2.038706,29.726724,Suspension & Steering,1,-2.081906,29.747698,5.34,4.2,0,1,Muhanga,1
-1.437101,29.674541,Engine Repair,1,-1.570967,29.694584,15.05,4.7,0,0,Musanze,1
-1.992751,30.425341,Brake System,1,-1.955772,30.457515,5.45,4.3,0,1,Rwamagana,1
-2.239142,30.19661,Transmission Repair,1,-2.09853,30.099325,19.01,3.3,1,0,Bugesera,0
-1.460838,29.704802,Transmission Repair,1,-1.462285,29.660537,4.92,4.3,0,0,Musanze,1
-2.618136,29.735738,Diagnostic Scanning,3,-2.5557575,29.7144985,7.33,4.2,0,0,Huye,1
-1.779685,30.010787,Tire & Wheel,1,-1.682664,29.985992,11.13,4.4,0,0,Rulindo,0
-2.224618,30.193963,Electrical Systems,1,-2.045014,30.32811,24.92,4.4,1,1,Bugesera,0
-2.161313,30.549882,Air Conditioning,1,-2.119079,30.530762,5.15,5.0,0,0,Ngoma,1
-2.390021,29.793162,Diagnostic Scanning,1,-2.30502,29.742248,11.02,5.0,0,0,Nyanza,1
-2.109047,30.137496,Transmission Repair,1,-2.006717,30.287264,20.16,3.0,0,1,Bugesera,0
-1.533501,29.97795,Brake System,3,-1.5300884,30.0302841,5.83,3.0,0,0,Gicumbi,1
-1.934017,30.561325,Diagnostic Scanning,3,-1.880486,30.606045,7.75,4.6,1,0,Kayonza,1
-1.703624,30.102826,Air Conditioning,1,-1.700803,29.979596,13.7,4.3,0,0,Rulindo,1
-1.876313,30.08007,Air Conditioning,1,-1.944077,30.048263,8.32,4.7,0,1,Gasabo,1
-2.417632,29.678325,Welding,3,-2.342811,29.782274,14.23,4.5,0,0,Nyanza,1
-1.703056,30.065375,Welding,1,-1.736089,29.971933,11.02,4.6,1,0,Rulindo,0
-1.9535,30.113472,Brake System,1,-1.984992,30.120971,3.6,4.8,0,0,Kicukiro,0
-2.071427,29.759473,Transmission Repair,1,-2.08426,29.735285,3.04,4.4,0,0,Muhanga,1
-2.263836,30.147343,Oil Change,1,-2.1082817,30.1386767,17.32,5.0,0,1,Bugesera,1
-2.391375,30.643535,Welding,1,-2.124181,30.728235,31.17,4.1,0,1,Kirehe,0
-2.223212,30.071661,Bodywork,1,-1.979131,30.288038,36.26,4.5,0,0,Bugesera,0
-2.630606,29.711103,Tire & Wheel,1,-2.663429,29.731164,4.28,3.5,0,0,Huye,1
-2.139734,30.541102,Transmission Repair,3,-2.081239,30.586724,8.25,4.6,0,0,Ngoma,1
-1.65371,29.245022,Air Conditioning,3,-1.714461,29.299162,9.05,4.3,0,0,Rubavu,1
-2.013303,30.052271,Tire & Wheel,1,-1.931449,30.17728,16.61,3.0,0,0,Kicukiro,0
-2.223791,30.530025,Air Conditioning,1,-2.115165,30.600586,14.4,4.8,0,0,Ngoma,1
-1.950647,30.085125,Exhaust System,1,-1.949954,30.104428,2.15,4.8,1,0,Gasabo,1
-2.014769,30.119632,Air Conditioning,1,-1.931944,30.052399,11.86,4.2,0,1,Kicukiro,0
-2.193796,30.120302,Brake System,1,-2.018146,30.334497,30.79,4.5,1,1,Bugesera,0
-1.659155,29.23789,Electrical Systems,1,-1.613552,29.294587,8.09,4.2,1,1,Rubavu,1
-2.408759,30.743142,Electrical Systems,1,-2.334733,30.569824,20.94,4.5,0,1,Kirehe,0
-2.294627,29.771953,Welding,1,-2.337078,29.75036,5.3,5.0,0,0,Nyanza,0
-1.933082,30.127875,Engine Repair,1,-2.036976,30.06858,13.3,4.9,0,0,Kicukiro,1
-2.11096,30.480885,Bodywork,3,-2.154884,30.596034,13.7,4.2,0,0,Ngoma,1
-1.744577,29.324416,Transmission Repair,1,-1.6540026,29.3115551,10.17,3.7,1,1,Rubavu,0
-2.367076,29.692378,Brake System,3,-2.322803,29.779959,10.9,4.6,0,0,Nyanza,1
-1.972078,30.067677,Tire & Wheel,1,-1.9699827,30.1297653,6.9,4.4,0,1,Kicukiro,1
-1.921471,30.075682,Welding,1,-1.990444,30.03501,8.9,4.2,0,0,Nyarugenge,0
-1.510865,29.650369,Tire & Wheel,1,-1.535818,29.593777,6.88,4.5,0,0,Musanze,0
-2.134862,30.516972,Suspension & Steering,1,-2.130929,30.534667,2.01,4.7,0,0,Ngoma,1
-2.186839,30.068323,Exhaust System,3,-2.145722,30.12168,7.49,4.6,0,0,Bugesera,1
-2.171202,30.125972,Transmission Repair,3,-2.012462,30.34408,29.98,4.7,0,1,Bugesera,0
-2.005524,30.44227,Electrical Systems,1,-2.00351,30.468818,2.96,4.3,0,0,Rwamagana,1
-1.949529,30.136014,Engine Repair,1,-1.86245,30.071586,12.04,4.2,0,0,Gasabo,0
-1.928376,30.09591,Exhaust System,1,-1.84082,30.148752,11.37,4.6,0,0,Gasabo,1
-2.156351,29.823369,Diagnostic Scanning,1,-2.1131792,29.7841836,6.48,4.3,0,1,Muhanga,0
-1.684762,30.003237,Tire & Wheel,1,-1.682432,29.979304,2.67,4.7,0,0,Rulindo,1
-1.682135,29.258513,Exhaust System,1,-1.723533,29.293607,6.03,4.2,0,1,Rubavu,1
-2.348524,29.735758,Air Conditioning,1,-2.334266,29.782953,5.48,4.5,0,0,Nyanza,1
-1.982623,30.40642,Welding,1,-1.958543,30.441114,4.69,4.8,0,0,Rwamagana,1
-1.890996,30.56389,Diagnostic Scanning,1,-1.877017,30.624885,6.95,3.7,0,1,Kayonza,1
-2.307793,29.803386,Brake System,3,-2.314168,29.769175,3.87,3.0,0,0,Nyanza,1
-1.721354,30.007372,Transmission Repair,1,-1.6824252,29.9639469,6.48,3.2,0,1,Rulindo,0
-1.702442,30.034997,Bodywork,1,-1.6970574,29.9339166,11.25,4.5,0,0,Rulindo,0
-1.882761,30.117238,Suspension & Steering,1,-1.977604,30.024783,14.72,4.5,1,1,Gasabo,1
-2.220607,30.564882,Suspension & Steering,1,-2.080375,30.544589,15.76,4.0,0,0,Ngoma,1
-2.233266,30.499873,Bodywork,3,-2.2286922,30.5970866,10.81,4.4,1,1,Ngoma,1
-2.618071,29.786171,Oil Change,1,-2.590277,29.669777,13.29,4.5,0,0,Huye,1
-2.389258,29.812464,Tire & Wheel,1,-2.303575,29.768334,10.72,4.3,0,1,Nyanza,0
-2.377635,30.66271,Air Conditioning,1,-2.14944,30.811949,30.31,3.5,0,1,Kirehe,0
-2.071512,30.429629,Engine Repair,3,-2.1624767,30.5013159,12.87,4.5,0,1,Ngoma,1
-1.964611,30.077212,Brake System,1,-1.89185,30.110245,8.88,4.7,0,1,Gasabo,0
-1.437332,29.669777,Bodywork,1,-1.492778,29.581401,11.6,4.1,0,0,Musanze,0
-1.617473,29.322951,Air Conditioning,3,-1.758836,29.273181,16.66,5.0,0,1,Rubavu,1
-1.964726,30.076761,Exhaust System,1,-1.967518,30.06567,1.27,4.4,0,1,Nyarugenge,0
-1.927367,30.412312,Air Conditioning,1,-1.980105,30.503721,11.73,4.7,1,0,Rwamagana,0
-1.520642,30.002492,Oil Change,1,-1.612494,30.140487,18.43,3.6,0,0,Gicumbi,0
-1.888846,30.393736,Exhaust System,1,-2.003603,30.467899,15.19,3.5,0,0,Rwamagana,1
-1.677022,30.014525,Brake System,3,-1.6989102,29.927501,9.97,4.4,1,0,Rulindo,0
-1.994902,30.443914,Electrical Systems,1,-1.947779,30.50029,8.17,4.6,0,1,Rwamagana,0
-2.204642,30.455858,Exhaust System,1,-2.093128,30.606728,20.85,3.7,0,1,Ngoma,0
-1.635615,29.335492,Exhaust System,1,-1.608694,29.244848,10.51,4.4,0,1,Rubavu,1
-1.556976,29.55223,Transmission Repair,3,-1.454712,29.63204,14.42,3.3,0,1,Musanze,1
-2.123255,29.691092,Suspension & Steering,1,-2.0933973,29.7569697,8.04,3.5,0,0,Muhanga,1
-1.95538,30.08576,Engine Repair,1,-1.930887,30.152954,7.95,4.7,1,0,Gasabo,1
-1.698918,30.082979,Engine Repair,1,-1.706261,29.964542,13.19,4.8,0,1,Rulindo,1
-2.31134,29.774465,Suspension & Steering,3,-2.3896139,29.7350439,9.74,4.4,0,1,Nyanza,0
-1.881322,30.040727,Exhaust System,1,-1.928027,30.140735,12.27,4.5,0,0,Gasabo,1
-1.61159,29.243613,Bodywork,1,-1.597965,29.283189,4.65,3.8,1,0,Rubavu,1
-1.60981,30.047717,Bodywork,1,-1.542969,30.068424,7.78,4.5,0,0,Gicumbi,0
-2.0071,29.715831,Engine Repair,1,-2.072888,29.730655,7.5,4.3,0,0,Muhanga,0
-1.612031,29.183978,Oil Change,3,-1.666259,29.214366,6.91,4.1,0,1,Rubavu,1
-1.893923,30.037708,Electrical Systems,1,-1.90137,30.039196,0.84,4.6,0,0,Gasabo,1
-2.650352,29.728676,Tire & Wheel,1,-2.6038612,29.7395168,5.31,4.5,1,0,Huye,1
-2.150791,30.246605,Bodywork,3,-2.002507,30.340096,19.49,4.0,0,0,Bugesera,0
-1.509128,30.043476,Diagnostic Scanning,1,-1.514508,30.125588,9.15,4.1,0,0,Gicumbi,1
-2.667503,29.68528,Electrical Systems,1,-2.614262,29.676956,5.99,4.3,1,0,Huye,1
-1.870469,30.120618,Bodywork,1,-1.877535,30.127343,1.08,4.6,1,0,Gasabo,1
-1.906308,30.097722,Bodywork,1,-1.941008,30.143606,6.39,4.7,0,0,Gasabo,0
-1.671162,30.086497,Engine Repair,1,-1.7641134,29.9499987,18.36,4.8,0,1,Rulindo,1
-1.700131,29.248141,Exhaust System,1,-1.6708206,29.2461035,3.27,4.8,1,0,Rubavu,1
-1.475691,29.688799,Tire & Wheel,1,-1.5025347,29.6699962,3.64,4.7,0,1,Musanze,1
-2.400346,29.697866,Electrical Systems,1,-2.327315,29.733831,9.05,4.9,0,0,Nyanza,1
-2.040638,29.800651,Welding,1,-2.065253,29.746463,6.61,4.0,0,0,Muhanga,1
-1.799351,30.085109,Engine Repair,1,-1.817017,30.04233,5.14,4.5,0,0,Rulindo,0
-1.786612,30.121946,Oil Change,1,-1.6912413,30.0371062,14.19,3.8,0,0,Rulindo,1
-1.952735,30.135516,Transmission Repair,1,-1.899765,30.113448,6.38,3.3,0,1,Gasabo,1
-2.400204,30.62125,Air Conditioning,1,-2.116932,30.760572,35.1,3.5,0,1,Kirehe,0
-2.003831,30.362961,Diagnostic Scanning,1,-1.980873,30.393204,4.22,3.9,0,0,Rwamagana,1
